"pair_ID_year","pair_ID","female_CORT","female_CORT_year","male_CORT","male_CORT_year","same_diff","year_diff","year","female_ID","male_ID","year_paired","years_together","pbvid_mean","CORT_diff","site","male_body_cond","female_body_cond","female_CORT_resid","male_CORT_resid","female_CORT_z","male_CORT_z","female_body_cond_z","male_body_cond_z","female_CORT_log","male_CORT_log"
"J218 J289_201920","J218 J289",8.82,2019,2.71,2020,"diff",1,19.5,"J218","J289",NA,NA,0.0265936815,6.11,"Z",20.3127495800743,4.83133303957125,4.36218628015225,-0.40827421644577,3.39186295687354,-0.553476323236783,0.441777537362488,0.900189070943747,2.1770218700187,0.99694863489161
"J2375 J837_2020","J2375 J837",7.19,2020,2.94,2020,"same",0,20,"J2375","J837",NA,NA,0.00560904761,4.25,"Z",-0.786504872292553,-18.9080705223222,2.51592875442996,-0.785636276712604,2.29069417680778,-0.35798700963446,-0.839353000541735,-0.576627041774843,1.97269117173296,1.07840958135059
"J2403 J3467_2023","J2403 J3467",3.85,2023,3.36,2023,"same ",0,23,"J2403","J3467",20,3,NA,0.49,"Y",7.83356968247076,-1.45881606995537,0.674675555882841,0.360689647827699,0.0343115231760886,-0.00100652392587008,0.102320731247901,0.0267243716151197,1.34807314829969,1.21194097397511
"J250 J290_201618","J250 J290",2.07,2018,1.97,2016,"diff",2,17,"J250","J290",NA,NA,0.0527448435475,0.0999999999999999,"Y",-7.34598298894932,-3.46754863897899,-1.12362328360073,-1.46626817953328,-1.16819180720248,-1.18244194091382,-0.00608336702480674,-1.03574956648647,0.727548607277278,0.678033542749897
"J2680 J2619_2023","J2680 J2619",3.13,2023,2.26,2023,"same",0,23,"J2680","J2619",21,2,NA,0.87,"Z",11.7923022514944,-14.2664303175293,-1.50178755367506,-1.10354337775971,-0.452094318325354,-0.935955415067415,-0.588860312432685,0.30381094152575,1.14103300455206,0.815364813284194
"J3283 J4666_2023","J3283 J4666",4.22,2023,2.88,2023,"same",0,23,"J3283","J4666",NA,NA,NA,1.34,"Y",9.32166853600614,22.2818922002961,1.26094496703437,-0.0764740146322996,0.28427008061433,-0.408984221878544,1.38352167958666,0.13088200283287,1.43983512804792,1.05779029414785
"J3479 J3470_2023","J3479 J3470",4.18,2023,5.07,2023,"same",0,23,"J3479","J3470",19,4,NA,-0.890000000000001,"X",26.8123768062577,28.1506620467014,0.289579908965118,0.563438194231689,0.257247533864249,1.45241402503053,1.70023815692185,1.35512240690412,1.43031124653666,1.62334081760309
"J3715 J3702_2023","J3715 J3702",3.82,2023,3.89,2023,"same",0,23,"J3715","J3702",22,1,NA,-0.0700000000000003,"Z",1.4536442372341,10.8521531419678,-0.582966189463571,0.2288485410585,0.0140446131135283,0.449468850896875,0.766699622127477,-0.419830586842756,1.34025042261848,1.35840915763035
"J3899 J2488_2023","J3899 J2488",3.56,2023,2.34,2023,"same",0,23,"J3899","J2488",21,2,NA,1.22,"Y",6.53282413483757,-16.4686669604288,0.247941151137949,-0.696753547024372,-0.161601940761992,-0.867959132075303,-0.707707132132868,-0.0643196976257333,1.26976054486394,0.85015092936961
"J41 J323_2018","J41 J323",4.79,2018,2.86,2018,"same",0,18,"J41","J323",17,1,0.06718340717,1.93,"Z",-6.50676581396415,-7.04859240566541,0.223964383344524,-1.03029941581266,0.669341371802971,-0.425983292626572,-0.199339466113912,-0.977009602527731,1.56653041142282,1.05082162483176
"J4109 J4111_2023","J4109 J4111",4.18,2023,6.38,2023,"same",0,23,"J4109","J4111",23,0,NA,-2.2,"Y",-0.245982988949296,-18.9376231937423,0.845449837708741,3.1481120575803,0.257247533864249,2.56585315902637,-0.840947852313567,-0.538793883811824,1.43031124653666,1.8531680973567
"J4645 J4646_2023","J4645 J4646",3.3,2023,4.02,2023,"same",0,23,"J4645","J4646",NA,NA,0.029,-0.72,"Y",6.43356968247073,-26.4088160699554,-0.102610072953773,0.980389319382766,-0.337248494637513,0.559962810759057,-1.2441413581375,-0.0712668897573477,1.19392246847243,1.39128190263093
"J4940 J933_2023","J4940 J933",4.09,2023,5.14,2023,"same ",0,23,"J4940","J933",23,0,NA,-1.05,"Z",-3.08725041992572,-11.548965179482,-0.517032412482974,1.34813457954609,0.196446803676569,1.51191077264863,-0.44220845721797,-0.737664869138883,1.40854497005471,1.63705307946707
"J5088 J2072_2023","J5088 J2072",3.41,2023,2.49,2023,"same",0,23,"J5088","J2072",NA,NA,NA,0.92,"Y",32.3919294776778,20.9112584848079,0.438458981225579,0.197625337696017,-0.262936491074793,-0.740466101465092,1.30955348975347,1.7456562670231,1.22671229129543,0.912282710476616
"J5089 J2126_2023","J5089 J2126",2.23,2023,3.88,2023,"same",0,23,"J5089","J2126",NA,NA,NA,-1.65,"Y",-23.3876231937423,24.4517803681512,-0.709288123276807,-0.018042014567975,-1.06010162020216,0.44096931552286,1.50062276801243,-2.15856425087998,0.802001585472027,1.35583515363518
"J5090 J3693_2023","J5090 J3693",2.08,2023,3.11,2023,"same",0,23,"J5090","J3693",23,0,NA,-1.03,"Y",17.792675025311,28.8112584848079,-0.819574827679862,0.397371945209223,-1.16143617051496,-0.213494908276221,1.7358881793785,0.723799582105241,0.732367893713227,1.13462272619114
"J5123 J5124_2023","J5123 J5124",3.68,2023,4.24,2023,"same",0,23,"J5123","J5124",NA,NA,NA,-0.56,"X",28.0521531419678,26.6105129371748,-0.22445030181087,-0.230873667534474,-0.0805343005117519,0.746952588987366,1.61712182874637,1.44189901187267,1.30291275218084,1.44456326924387
